"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"logo4";"logo_heart3";1;"logo-heart2";;;
2;"logo1";"logo_flatlight";1;"logo-flatlight";;;
3;"R7,R6,R9,R8,R13,R12,R4";"R_0603_1608Metric";7;"1kΩ";;;
4;"R10,R11,R3,R2";"R_0603_1608Metric";4;"10kΩ";;;
5;"TP2,TP1";"TESTPOINT_0.6mm";2;"TestPoint";;;
6;"J1";"USB_Micro-B_Wuerth_629105150521";1;"USB_B_Micro";;;
7;"L1";"L_0805_2012Metric";1;"10µH";;;
8;"C5,C7,C4,C6";"C_0603_1608Metric";4;"100nF";;;
9;"U2";"Bosch_LGA-14_3x2.5mm_P0.5mm";1;"LSM6DS3";;;
10;"J3";"PinHeader_1x04_P2.00mm_Vertical";1;"Conn_01x04";;;
11;"logo5";"logo_flatlight_git_silk";1;"logo-flatlight-git";;;
12;"logo3";"logo_horse";1;"logo-horse";;;
13;"logo6";"logo_REV18";1;"logo-rev18";;;
14;"C2";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"10µF";;;
15;"U3";"QFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm";1;"ATmega328-MU";;;
16;"D3,D2";"LED-APA102-2020";2;"APA102-2020";;;
17;"SW3";"white_nano_smd_switch";1;"BTN_DIG2";;;
18;"SW2";"white_nano_smd_switch";1;"BTN_DIG1";;;
19;"SW1";"white_nano_smd_switch";1;"BTN_PWR";;;
20;"R5";"R_0603_1608Metric";1;"100kΩ";;;
21;"R1";"R_0603_1608Metric";1;"2kΩ";;;
22;"J2";"Conn_01x06_SMD_2mm";1;"Conn_PROG";;;
23;"H6,H5,H4,H3,H2,H1";"MountingHole_2.2mm_M2_Pad_Via";6;"MountingHole_Pad";;;
24;"C3";"C_0805_2012Metric";1;"1µF";;;
25;"C1";"C_0805_2012Metric";1;"10µF";;;
26;"logo2";"cc-by-sa";1;"logo-cc-by-sa";;;
27;"BT1";"lipo_samsung_BG930ABE";1;"lipo_sams_BG930ABE";;;
28;"D1";"0606_ARGB_LED";1;"LED_ARGB";;;
29;"Q1";"PowerPAK_SO-8_Dual";1;"DMC1016UPD";;;
30;"U1";"DFN-8-1EP_3x2mm_P0.5mm_EP1.75x1.45mm";1;"MCP73831-2x3DFN8";;;
